Validator,PT_VERSION,2.7.1
Validator,ROCM_VERSION,6.3.0.0-39-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0.8ebd6c11
GemmTunableOp_Half_TN,tn_4096_5986_14336_ld_14336_14336_4096,Gemm_Hipblaslt_215225,1.14177
GemmTunableOp_Half_TN,tn_1024_5986_4096_ld_4096_4096_1024,Gemm_Hipblaslt_214862,0.0801294
GemmTunableOp_Half_TN,tn_4096_5986_4096_ld_4096_4096_4096,Gemm_Hipblaslt_215228,0.293489
GemmTunableOp_Half_TN,tn_4096_8084_14336_ld_14336_14336_4096,Gemm_Hipblaslt_215251,1.60088
GemmTunableOp_Half_TN,tn_4096_8084_4096_ld_4096_4096_4096,Gemm_Hipblaslt_214755,0.404529
GemmTunableOp_Half_TN,tn_4096_1_4096_ld_4096_4096_4096,Gemm_Rocblas_621284825,0.00817385
GemmTunableOp_Half_TN,tn_1024_1_4096_ld_4096_4096_1024,Gemm_Rocblas_621284825,0.0076531
GemmTunableOp_Half_TN,tn_4096_1_4096_ld_4096_0_4096,Gemm_Hipblaslt_214824,0.0118384
GemmTunableOp_Half_TN,tn_14336_8019_4096_ld_4096_4096_14336,Gemm_Rocblas_621294284,1.58319
GemmTunableOp_Half_TN,tn_14336_18771_4096_ld_4096_4096_14336,Gemm_Hipblaslt_214758,2.90566
GemmTunableOp_Half_TN,tn_1024_15967_4096_ld_4096_4096_1024,Gemm_Hipblaslt_215468,0.175357
GemmTunableOp_Half_TN,tn_128256_1024_4096_ld_4096_4096_128256,Gemm_Rocblas_621294391,1.54639
GemmTunableOp_Half_TN,tn_1024_18771_4096_ld_4096_4096_1024,Gemm_Rocblas_621294320,0.261929
GemmTunableOp_Half_TN,tn_4096_1024_14336_ld_14336_14336_4096,Gemm_Hipblaslt_215124,0.188636
GemmTunableOp_Half_TN,tn_4096_15967_14336_ld_14336_14336_4096,Gemm_Hipblaslt_215251,2.93967
